Frontier Portfolio,Expected Return,Volatility,Sharpe Ratio,Largest Weight,Active Holdings
1,0.17394279322640707,0.13646119471025692,0.7983426604004261,0.2795365260068443,6
2,0.17499781037430173,0.1364680533162523,0.8060334100274136,0.2812582402361371,6
3,0.1760528275221757,0.13648862119604294,0.8136416541468829,0.28297991551017415,6
4,0.1771078446700809,0.1365228921534204,0.8211651753179782,0.28470156614253966,6
5,0.17816286181797744,0.13657085587247228,0.8286018352528093,0.28642322169450163,6
6,0.17921787896585745,0.13663249793299648,0.8359495778366652,0.2881448955979762,6
7,0.18027289611374955,0.13670779983216055,0.8432064319319955,0.2898665477768293,6
8,0.18132791326163758,0.1367967390121432,0.8503705139587527,0.29158820495664267,6
9,0.1823829304095285,0.13689928889380756,0.8574400302442925,0.29330987010577597,6
10,0.1834379475574296,0.137015418916161,0.8644132791354024,0.29503153387237685,6
11,0.18449296470532062,0.13714509458154114,0.8712886528673816,0.29675318320070465,6
12,0.18554798185320143,0.13728827750632996,0.8780646391870078,0.2984748544697921,6
13,0.18660299900115387,0.13744493226022472,0.8847397790623718,0.29999999999999993,6
14,0.18765801614879773,0.13761563914593802,0.891308697979609,0.3,6
15,0.18871303329690872,0.13780075439333425,0.8977674602838968,0.3000000000000001,6
16,0.1897680504446792,0.138000220018861,0.90411486610403,0.3,6
17,0.19082306759281356,0.13821397389275386,0.9103498296810789,0.3,6
18,0.1918780847406343,0.13844194983188696,0.9164713794821953,0.3,6
19,0.1929331018885959,0.13868407769950675,0.9224786580460556,0.3,6
20,0.19398811903636376,0.13894028350889098,0.9283709215125477,0.3,6
21,0.19504313618427785,0.13921048953214732,0.9341475388910798,0.3000000000000001,6
22,0.19609815333214578,0.13949461441252126,0.9398079910415394,0.3,6
23,0.19715317048005995,0.13979257328088251,0.9453518694053019,0.30000000000000004,6
24,0.1982081876279278,0.14010427787528074,0.9507788744788238,0.3,6
25,0.199263204775842,0.14042963666366992,0.9560888140542827,0.3,6
26,0.20031822192366172,0.14076855496911547,0.9612816012308321,0.30000000000000004,6
27,0.20137323907160096,0.14112093509744264,0.9663572522208456,0.3,6
28,0.20242825621939028,0.14148667646643698,0.9713158839517343,0.29999999999999993,6
29,0.20348327336730856,0.14186567573709433,0.9761577114956683,0.3,6
30,0.20453829051522532,0.14225782694544947,0.9808830453225819,0.3,6
31,0.20559330766316516,0.14266302163565375,0.9854922884097155,0.30000000000000004,6
32,0.20664832481118203,0.14308114899338667,0.9899859332114332,0.30000000000000004,6
33,0.20770334195900078,0.1435120959793002,0.994364558507904,0.3,6
34,0.20875835910683826,0.14395574746270745,0.9986288261542297,0.3,6
35,0.20981337625444763,0.14441198635420271,1.002779477731581,0.3,6
36,0.2108683934026203,0.14488069373843293,1.0068173311343371,0.3,6
37,0.21192341055051145,0.14536174900409624,1.0107432770802118,0.3,6
38,0.21297842769815117,0.1458550299748567,1.0145582755950242,0.30000000000000004,6
39,0.21403344484616732,0.14636258797622828,1.0182482211258306,0.30000000000000004,6
40,0.21508846199411452,0.14688707810173005,1.0217948640122536,0.29999999999999993,6
41,0.21614347914208662,0.14742833085004226,1.0251996903893814,0.3,6
42,0.21719849628997764,0.14798616229560158,1.0284643775406646,0.29999999999999993,6
43,0.21825351343786883,0.14856038568382773,1.0315907079295634,0.30000000000000004,6
44,0.21930853058567812,0.14915081169024264,1.0345805620297064,0.30000000000000004,6
45,0.22036354773356256,0.14975724867597484,1.0374359111639258,0.3,6
46,0.22141856488148967,0.1503795029382057,1.040158810378337,0.3,6
47,0.2224735820294922,0.15101737895585782,1.0427513913847062,0.30000000000000004,6
48,0.2235285991771459,0.15167067962920225,1.0452158555939064,0.3,6
49,0.22458361632521534,0.15233920651476002,1.047554467272044,0.3,6
50,0.22563863347305346,0.15302276005111615,1.0497695468268464,0.29999999999999993,6
51,0.22669365062091404,0.15372113978102467,1.0518634642655278,0.3,6
52,0.22774866776865482,0.15443414456416235,1.0538386328227956,0.3,6
53,0.22880368491677985,0.15516157278408169,1.0556975027877828,0.3,6
54,0.22985870206499132,0.15590364241443713,1.0574397077057958,0.3,5
55,0.23091371921251994,0.15666571023115333,1.059030204935857,0.30000000000000004,5
56,0.23196873636041088,0.1574499741281019,1.0604557878463954,0.3,4
57,0.233023753507949,0.15843472497414104,1.060523528130421,0.3,4
58,0.23407877065619284,0.1597522752270846,1.0583809865358775,0.30000000000000004,4
59,0.2351337878040838,0.16139447462775477,1.0541487755171648,0.3,4
60,0.23618880495197475,0.16335153221861815,1.0479779566613905,0.3,4
