,Execution Date,Signal Date,Training Observations,Minimum Expected Return,Maximum Expected Return,Average Expected Return
0,2024-01-01,2023-12-29,679,0.19155003262325315,0.46045948704289497,0.30790407062698333
1,2024-02-01,2024-01-31,700,0.1653483529871539,0.4506303812651854,0.30264424727952893
2,2024-03-01,2024-02-29,721,0.16591088367653786,0.47287207055562874,0.3186043637396498
3,2024-04-01,2024-03-28,739,0.16508546846515812,0.46649024375646464,0.3146394140182891
4,2024-05-02,2024-04-30,756,0.16616665544527862,0.488790045176664,0.3228954605459634
5,2024-06-03,2024-05-31,756,0.1753419239756467,0.5005195553495492,0.3304214679075028
6,2024-07-01,2024-06-28,756,0.20107233739385078,0.5079299942528585,0.344775799128892
7,2024-08-01,2024-07-31,756,0.20332605373448845,0.5139223587000743,0.35477667411471964
8,2024-09-02,2024-08-30,756,0.2108875639506958,0.5472121977172866,0.3552946058728156
9,2024-10-01,2024-09-30,756,0.2009217420271875,0.537052219698535,0.34454665581196614
10,2024-11-01,2024-10-31,756,0.16428550037006887,0.49158160492039116,0.30615916477595334
11,2024-12-02,2024-11-29,756,0.18183281614386582,0.48912329897850193,0.31637898603018194
12,2025-01-01,2024-12-31,756,0.17579908184083645,0.5052420156803346,0.31484530628629137
13,2025-02-01,2025-01-31,756,0.17175602272764706,0.45672342730867466,0.2961723950061542
14,2025-03-03,2025-02-28,756,0.1448124364826265,0.4154535689338409,0.2632631369649829
15,2025-04-01,2025-03-28,756,0.17952823336672072,0.4497655042564369,0.3090778645690402
16,2025-05-02,2025-04-30,756,0.14891399260082794,0.4189818126604804,0.28112423845760653
17,2025-06-02,2025-05-30,756,0.18046430629979823,0.46145527473468073,0.3093346297733232
18,2025-07-01,2025-06-30,756,0.18504789287670848,0.4807044135016677,0.3186344641113581
19,2025-08-01,2025-07-31,756,0.16026074345702193,0.4451345766799565,0.29462562916917745
20,2025-09-01,2025-08-29,756,0.14489670179369682,0.39752653125188947,0.26901500061255235
21,2025-10-01,2025-09-30,756,0.13494792387819218,0.3766748458791392,0.25211728885469975
22,2025-11-03,2025-10-31,756,0.14416408770901637,0.4024891372778786,0.27149527268704143
23,2025-12-01,2025-11-28,756,0.14100347959194823,0.38047304932919646,0.25567234176927467
24,2026-01-01,2025-12-31,756,0.11564407829892383,0.3785114542879956,0.24799678167895695
25,2026-02-02,2026-01-30,756,0.12397471176456389,0.4049240608199943,0.2400858594060861
26,2026-03-02,2026-02-27,756,0.09617846147628438,0.4070873585225142,0.23397578559633664
27,2026-04-01,2026-03-30,756,0.06844485979685222,0.3725691217485843,0.20404360550625475
28,2026-05-01,2026-04-30,756,0.09451294233606691,0.3919459722238741,0.22894987127083172
29,2026-06-01,2026-05-29,756,0.06920015511324572,0.3586448895144349,0.20840024847428937
30,2026-07-01,2026-06-30,756,0.051933210220079115,0.3410227489158527,0.20187185889954015
